Subsystem 3	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
Inteins	14	9.666666667	14	7	14	21	4	7	10	8	7	16.33333333
Intracellular septation in Enterobacteria	0	3	1	1	0	0	2	4	0	0	1	4
Iojap	20.51666667	28.18333333	21.93333333	12.08333333	20.51666667	10.23333333	16.66666667	17.56666667	5	19.46666667	8.75	15.83333333
IojapClusters	314.7666667	285.5166667	256.4333333	137.25	314.7666667	424.65	294.5	263.9	147.4166667	308.2166667	140	283.5833333
Iron Scavenging cluster in Thermus	0	0	0	0	0	0	0	0	0	0	0	1
Iron acquisition in Streptococcus	47.66666667	37	18.66666667	46.5	47.66666667	41.66666667	43.91666667	39.83333333	67.5	29.66666667	20.5	32
Iron acquisition in Vibrio	0	0	1	0	0	0	0	1	0	0	0	0
Iron siderophore sensor & receptor system	3.5	0	0	0	3.5	0	0	0	0	0	0	0
Iron(III) dicitrate transport system Fec	1.5	2.833333333	2.333333333	2	1.5	0	0	0	2	1.333333333	1	1.5
Isoleucine degradation	9.285786436	7.134498834	5.601129426	6.276623377	9.285786436	6.791666667	8.277716728	6.297619048	3.076165501	8.691305916	2.003968254	6.212734488
Isoprenoid Biosynthesis	114.3843004	105.4777889	97.35132784	67.63644689	114.3843004	163.7900794	108.5596612	95.78089133	61.35972222	129.2814214	86.94622132	115.423939
Isoprenoid Biosynthesis: Interconversions	16.73333333	6.233333333	14.96666667	13.13333333	16.73333333	17.33333333	20.01666667	14.33333333	10.03333333	12.63333333	17.95	17.06666667
Isoprenoid scratch	3.333333333	4.166666667	2.833333333	1.083333333	3.333333333	0.833333333	4.333333333	2.166666667	1.75	2.666666667	0.833333333	3.5
Isoprenoinds for Quinones	56.31666667	67.51666667	55.46666667	38.41666667	56.31666667	96.66666667	60.88333333	45.91666667	32.36666667	61.5	23.81666667	58.26666667
KDO2-Lipid A biosynthesis	185.3333333	160	135.0333333	129.7333333	185.3333333	315.5	157.8333333	131	55.5	245.1666667	112.5	213.0333333
Ketoisovalerate oxidoreductase	8.285714286	3.071428571	6.5	0.785714286	8.285714286	4.833333333	3.5	4.5	3.5	7.5	2.666666667	9.785714286
Khodge314 Isoleucine Biosynthesis	28.11666667	26.66666667	17.83333333	12.94444444	28.11666667	5	19.5	20	5	7	15.83333333	10.83333333
L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion	1	1.833333333	1.333333333	1.333333333	1	2	2	1	1	2	2	1.5
L-Arabinose utilization	220.375	165.5	213.7353535	171.5666667	220.375	286.3333333	195.0575758	176.8269231	98.35	203.9833333	182.4539683	271.5845238
L-Cystine Uptake and Metabolism	15	19.33333333	13	6.5	15	12.33333333	7.5	22.83333333	5	10.5	7.5	11.5
L-ascorbate utilization (and related gene clusters)	43.5	39	35.5	10.125	43.5	21.5	13.5	43.5	10.66666667	25.5	14	15.5
L-fucose utilization	113	82.5	129	86.95	113	197	105.6	83	47	154.5	88.59090909	148.15
L-fucose utilization temp	0	0	0	0	0	2	1	0	0	4	0	3
L-rhamnose utilization	189.5416667	85.33333333	174.2075758	148.4190476	189.5416667	260.8333333	141.3766234	106.1519231	59.08571429	156.5833333	94.95833333	195.2083333
LMPTP YwlE cluster	122.6944444	117.1623016	100.5345238	41.19166667	122.6944444	172.1027778	86.19166667	101.6511905	65.26944444	94.52619048	44.30833333	85.44166667
LOS core oligosaccharide biosynthesis	90.66666667	61	64	81.2	90.66666667	86.33333333	96.83333333	81.5	35.5	83.5	84.75	91.83333333
Lactate Racemization	0	1	0	0	0	1	0	2	0	0	3	0
Lactate utilization	57.66666667	74.5	45.66666667	40.75	57.66666667	97.66666667	48.16666667	48.5	22	57.83333333	39.44444444	66.33333333
Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway	110.2222222	85.65	89.2	69.73717949	110.2222222	96.91666667	97	70.16666667	44.75	96.75	96.83333333	108.2
Lactose and Galactose Uptake and Utilization	305.8801948	214.1742424	296.712031	239.3699856	305.8801948	400.6407107	280.5443945	293.9074897	132.447132	306.6047619	251.8854007	359.8044483
Lactose utilization	282.3357504	179.0170996	292.355285	227.6921717	282.3357504	393.4704726	249.5495532	165.2336802	121.8161797	303.2948413	219.2937701	304.5373848
Late competence	0	0	0	1	0	0	0	0	0	0	0	0
Legionaminic Acid Biosynthesis	30.83333333	33.83333333	25.33333333	22.83333333	30.83333333	40.33333333	22.66666667	19.83333333	15.16666667	32	18.83333333	23.5
Leucine Biosynthesis	122.5761905	103.1761905	113.8	69.64166667	122.5761905	159.675	126.4166667	103.0626374	61.53333333	103.65	75.17619048	129.3909091
Leucine Degradation and HMG-CoA Metabolism	3.717099567	6.142857143	3	2.125	3.717099567	3.5	2	4.819047619	5.775	3.291666667	0.7	2.5
Lignin biosynthesis in plants	0	0	0	0	0	0	0.25	0	0	0	0	0
Lipid A modifications	10.14285714	11.5	16	4	10.14285714	1.5	7	22	2	3	9.7	8
Lipid A-Ara4N pathway ( Polymyxin resistance )	91.66666667	54.5	71.11111111	72.1	91.66666667	107.5	53.33333333	53.33333333	35.5	95	51	113.1666667
Lipid-linked oligosaccharide synthesis related cluster	0	0	1	0	0	0	0	1	0	1	0	0
Lipoate  transport	11.56507937	12.08253968	12.82222222	8.869047619	11.56507937	19.26666667	7.892857143	11.04801587	7.681746032	12.62460317	6.34963925	12.2511655
Lipoic acid metabolism	13.86507937	14.51587302	15.45555556	8.502380952	13.86507937	21.51666667	13.72619048	10.66468254	8.015079365	15.45793651	7.64963925	14.13449883
Lipopolysaccharide assembly	23.91666667	41.66666667	31.66666667	28.83333333	23.91666667	14.5	48.5	55.16666667	3.5	17.5	21.78571429	39.83333333
Lipopolysaccharide assembly cluster	2.666666667	4.833333333	7.333333333	1.333333333	2.666666667	0	2.25	7.166666667	0	1.833333333	1.5	3.333333333
Lipopolysaccharide-related cluster in Alphaproteobacteria	41.5	28	24.5	18	41.5	68.5	30	34	29.5	34.5	17	25
Lipoprotein Biosynthesis	48.16666667	38.83333333	38.41666667	29.41666667	48.16666667	61.5	45.16666667	29.33333333	18.16666667	42.83333333	27.33333333	44.75
Lipoprotein sorting system	14	30.5	26.16666667	23.5	14	47.5	23.5	22.83333333	14.5	29	17	35.33333333
Listeria Pathogenicity Island LIPI-1 extended	1	2	5	6	1	4	4	1	2	6	5	6
Listeria phi-A118-like prophages	1	0	0	1	1	1	0	0	1	1	0	0
Listeria surface proteins: Internalin-like proteins	0	0	0	2	0	0	0	0	0	0	1	0
Lysine Biosynthesis DAP Pathway	218.8305556	161.6833333	196.1297619	146.6035714	218.8305556	271.7666667	206.0619048	179.8678571	123.212395	225.1928571	123.1428571	225.0916667
Lysine biosynthesis AAA pathway 2	0	0	0	0	0	0.333333333	0	0	0	0	0	0
Lysine degradation	18.66666667	18	14.66666667	5.116666667	18.66666667	20.25	8.916666667	12.5	5.833333333	15.5	10.59444444	23.44444444
Lysine fermentation	158.1451881	156.7099317	160.5372405	95.89845987	158.1451881	214.9051587	160.7721612	162.0690476	92.76380286	131.4901154	81.80281385	158.518254
Lysine fermentation MCB 432	64.23493173	58.94326507	56.2406746	30.40738844	64.23493173	78.82896825	47.10549451	63.74126984	23.5971362	52.04642857	34.30281385	62.16428571
Lysozyme inhibitors	0	7	7	3	0	0	0	0	0	1	9.125	1
MLST	6.293589744	5.5	6.392857143	2.916666667	6.293589744	2.5	2.642857143	3	0	3.75	0.944444444	3
MRSA analysis Oli	4	3	1	9	4	6	8	11	0	2	0	8.5
Macromolecular synthesis operon	125.0959707	79.43333333	116.9777778	96.13730159	125.0959707	194.9595238	96.68571429	94.17930403	63.18095238	163.4595238	118.5888278	147.2830087
Major Outer Membrane Proteins	12.08333333	25.83333333	18.16666667	7.30952381	12.08333333	1.5	3.333333333	21.16666667	0	5.5	16.33333333	14.5
Malonate decarboxylase	2	28	8	1	2	2	0	13.5	1.5	12.5	1	6
Malonate_	3	0	1	0	3	1	0	0.5	1.5	0.5	0	0
Maltose and Maltodextrin Utilization	481.7290765	370.7166667	474.1628788	427.9052781	481.7290765	591.5539683	457.5567821	502.4948773	266.7607864	478.361544	419.359546	520.34614
Mannitol Utilization	45.625	52.33333333	34.83333333	31.61904762	45.625	34.16666667	35.33333333	47.33333333	8.808823529	43.83333333	40	43.66666667
Mannose Metabolism	354.8134921	212	340.3190476	300.4492063	354.8134921	542.9595238	293.2873016	215.9217033	170.3583333	415.5777778	236.01337	410.8054695
MazEF toxin-antitoxing (programmed cell death) system	16.5	5	14.5	7	16.5	21.5	6	15	12.5	10.5	9.5	5.5
Mediator of hyperadherence YidE in Enterobacteria and its conserved region	8	19	11	4	8	0	6	12	0	3	5	5
Melibiose Utilization	68.76349206	35.41666667	66.18019481	44.76313131	68.76349206	95.125	69.70952381	40.22619048	35.5	89.36111111	65.36507937	77.59166667
Menaquinone Biosynthesis via Futalosine	6	4	4	2	6	11.16666667	11.33333333	0.5	0.5	12.83333333	1	4.5
Menaquinone and Phylloquinone Biosynthesis	32.14285714	23.33333333	24	19.86666667	32.14285714	46.5	25.66666667	21.33333333	15.66666667	40.66666667	24.11111111	40.16666667
"Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate"	40.08333333	61.66666667	34.83333333	23.9	40.08333333	43.5	43.58333333	32.75	17.83333333	59.58333333	23.61111111	37.83333333
"Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-6-naphthoate"	1	1	0	0	1	2.666666667	1	0.5	0.25	1	0.666666667	1.166666667
Mercuric reductase	3	2.916666667	4.333333333	6.25	3	4.75	5.833333333	5	4	4.5	4	5.5
Mercury resistance operon	4	4.916666667	4.333333333	8.25	4	4.75	5.833333333	8	4	5.5	7	5.5
Metabolite repair	59.84404762	76.95	87.23333333	47.10833333	59.84404762	56.1	51.35	80.55	20.18333333	55.25	33.56666667	74.95
Methanofuran	0	0	0	0	0	0	0	0	0	0	0	1
Methanofuran erick jmorales	0	0	0	0	0	0	0	0	0	0	0	1
Methanogenesis	2.7	0.533333333	0.866666667	3.533333333	2.7	2.533333333	2.416666667	2.233333333	2.366666667	2.666666667	1.2	4.266666667
Methanogenesis from methylated compounds	1	1	1	0	1	1	0	0	1	2	0	1
Methanopterin biosynthesis2	0	0	0	0	0	0	0	0	0.333333333	0	0	0
MethanopterinAromatic	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0
Methicillin resistance in Staphylococci	32.70322178	23.59285714	22.43330836	17.97778888	32.70322178	38.07821068	23.04891775	23.22344877	9.810714286	34.89570707	12.74090909	33.19735167
Methionine Biosynthesis	513.6099567	482.5095238	418.6630952	272.9909091	513.6099567	695.0095238	456.854304	446.8611111	242.6521136	545.7095238	334.7059524	453.675
Methionine Degradation	359.1420996	288.6428571	261.8583333	159.6242424	359.1420996	486.2761905	255.0583333	254.85	145.7166667	339.3166667	169.3333333	258.8833333
Methionine Salvage	6.767857143	21.87619048	12.5	1.616666667	6.767857143	8.342857143	5.858333333	23.05952381	3.25	5.166666667	2.5	10.1
Methionine and cysteine metabolism in plants	0	0	0	0	0	1	0	0	0	0	0	0
Methylcitrate cycle	5.60995671	7.350032321	5.142857143	1.102113573	5.60995671	0.5	1.71978022	4.285714286	0.15	6.071428571	3.337301587	2.03968254
Methylglyoxal Metabolism	50.03333333	36.73333333	46.83333333	30.86666667	50.03333333	59.91666667	39.06666667	45.45	24.41666667	42.66666667	40.36666667	51.65
Methylthiotransferases	32.84285714	37.83452381	34.67619048	25.31666667	32.84285714	55.65	37.49285714	30.63333333	17.98333333	42.35	28.73333333	32.31904762
MexA-MexB-OprM Multidrug Efflux System	1	0	0	0	1	0	0	0	0	0	0	0
Microbial ethylene biosynthesis	0	0	0	0	0	0	1	0	0	0	0	0
Modification of eukaryotic initiation factor 5A	1.5	0.5	1	0.5	1.5	2	1.5	0	1.5	1	0	3
Molybdenum cofactor biosynthesis	101.1666667	100.5333333	88.75	72.45	101.1666667	103.9166667	114.0833333	90.00952381	58.5	80.775	93.25	105.4166667
Molybdopterin cytosine dinucleotide	3.619047619	12.5	8.569444444	1.558333333	3.619047619	12.5	3.625	4	1.201923077	5	6.625	4.033333333
Monika MRSA	6.352031302	5.333333333	7.913802864	4.204279054	6.352031302	4.946266234	5.291341991	7.286147186	3.633766234	7.973484848	3.540909091	3.116832187
Muconate lactonizing enzyme family	7.2	16.08333333	10.16666667	5.166666667	7.2	13.83333333	9.5	7.083333333	4.666666667	9.333333333	5.666666667	13.58333333
MukBEF Chromosome Condensation	2	12	7	3.5	2	0	7	14	0.5	3.5	3	9.5
Multidrug Resistance Efflux Pumps	580.4068182	444.3035714	498.3308053	372.4267677	580.4068182	902.297619	437.2196581	440.1595238	320.2375513	626.8392857	349.1649684	602.606746
Multidrug Resistance Operon mdtRP of Bacillus	0	0	1	0	0	0	0	0	0	0	0	0
"Multidrug Resistance, 2-protein version Found in Gram-positive bacteria"	0	0	0	0	0	0	0	0	1	0	0	0
"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	45.66666667	45	55	36.33333333	45.66666667	71	47	52	14	56	33.83333333	64
Multidrug efflux pump in Campylobacter jejuni (CmeABC operon)	9.744155844	9.319047619	8.408333333	4.006421356	9.744155844	3.952380952	5.345238095	9.027777778	2.707936508	10.16071429	5.083333333	5.902380952
Multiple Antibiotic Resistance MAR locus	2	4	2	2	2	0	0	1	0	0	1	1
Murein Hydrolases	96.88333333	75.03333333	94.5	72.21666667	96.88333333	124.9333333	90.23333333	86	64.75	94.16666667	71.68333333	104.325
Murein hydrolase regulation and cell death	69.5	74.5	72.25	55	69.5	106.5	81.16666667	83.08333333	54.5	62.5	53	89.58333333
Mycobacterial FadE proteins Acyl-CoA dehydrogenase	0	0	0	0	0	0	1	0	0	0	0	0
Mycobacterial gene cluster associated with resistance against FAS-II antibiotics	1	0	0	0	1	0	0	0	0	0	0	0
Mycobacterium jamboree	1	1	1	1	1	0	0	1	0	0	1	0
Mycobacterium virulence operon involved in DNA transcription	112	89.5	81.41666667	78.33333333	112	166.75	96.58333333	94	54.5	102.1666667	68.5	117.3333333
Mycobacterium virulence operon involved in an unknown function with a Jag Protein and YidC and YidD	48.33333333	37.5	34.5	29.33333333	48.33333333	42.5	45.33333333	26	14	43	27.83333333	51.33333333
Mycobacterium virulence operon involved in fatty acids biosynthesis	3.576190476	0.785714286	1.066666667	2.033333333	3.576190476	7.133333333	2.783333333	2.333333333	2.466666667	0.7	4	8.366666667
Mycobacterium virulence operon involved in lipid metabolism	0	0	0	0	0	0	0	0	0	0	0	1
Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	23.66666667	19	27.16666667	14.83333333	23.66666667	35.33333333	22.16666667	28	8.833333333	28.33333333	17.66666667	34.83333333
Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins)	125.5178571	100.3666667	79.23376623	53.73571429	125.5178571	193.4928571	96.75	138.5095238	42.80119048	150.6940476	50.55263158	117.6916667
Mycobacterium virulence operon possibly involved in quinolinate biosynthesis	44.55	45.66666667	24.58333333	21.16666667	44.55	67	29.41666667	27.25	22.41666667	50.56666667	35.36666667	41
N-Acetyl-Galactosamine and Galactosamine Utilization	106.0183261	88.50555556	113.614917	112.4143579	106.0183261	187.2539683	120.2281136	84.42971195	55.48654401	144.5940476	74.14706405	139.5899933
N-heterocyclic aromatic compound degradation	0.833333333	0	0	0	0.833333333	0	0	0	0	0	0	0
N-linked Glycosylation in Bacteria	95.83333333	48.75	70.7	91.16666667	95.83333333	155.0833333	76.66666667	63	29.58333333	86.91666667	69.33333333	103.3666667
NAD and NADP cofactor biosynthesis global	295.7619048	282.5634921	256.5801587	160.1	295.7619048	430.3166667	273.2095238	233.25	139.6666667	315.6666667	169.1916667	265.0583333
NAD regulation	13.97619048	6.5	20.09285714	17.41666667	13.97619048	16.25	13.41666667	19.08333333	9	13.13333333	14.11666667	17.375
Na(+) H(+) antiporter	20	34	11	16	20	39	22	22	10	29	12	26
Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes	266	215	184	144	266	379	202	189	123	274	130	318
Na+ translocating decarboxylases and related biotin-dependent enzymes	60.63376623	47.99404762	54.65995671	38.45995671	60.63376623	111.0083333	56.45952381	48.30952381	48.75119048	63.69285714	34.93807026	65.1718254
Natural DNA Transformation in Vibrio	1	3	0	0	1	0	2	2	0	1	0	0
NiFe hydrogenase maturation	48.89285714	62	37.5	21.53333333	48.89285714	50	44.14285714	55.5	16.66666667	42.33333333	54	49
"Nicotinate catabolism, anaerobic"	16	23	22.83333333	15.5	16	26	17	13.5	3.5	15	1.5	13
Nitrate and nitrite ammonification	53	85.75	64	37.67619048	53	46.66666667	59.41666667	85.66666667	17.95238095	43.91666667	40.41666667	72.75
Nitric oxide synthase	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.666666667	0.666666667	0.533333333	0.333333333	0.583333333	0.333333333	0.333333333
Nitrilase	0	1	0	0	0	0	0	1	0	1	0	0
Nitrogen Metabolism in Aspergillus nidulans	11.01666667	16.33333333	19.55952381	4.119047619	11.01666667	0.2	2.95	10.9	0.842857143	8.466666667	4.75952381	2.642857143
Nitrogen fixation	0	3	0.5	1	0	4	1	15.2	1	2.2	3	2
Nitrosative stress	140	139.5	110	89.33333333	140	228	119.5	114.0333333	92	138.5	88.64545455	127
Nonhomologous End-Joining in Bacteria	0.5	0	2	0	0.5	0	0	0	2	0.5	0	0.5
Nonmevalonate Branch of Isoprenoid Biosynthesis	88.73991703	93.9297619	75.4125	55.31739927	88.73991703	148.3654762	80.37876984	73.52136752	52.32400794	108.0159091	62.31606259	93.38898226
Nucleoid-associated proteins in Bacteria	2	1	2	1	2	0	0	2	1	0	4	4
Nucleoside triphosphate pyrophosphohydrolase MazG	25	35	29	16.5	25	40	31	21	12	31	7	22
Nudix KE	72.9	53.91666667	51	45.66666667	72.9	103.0666667	78.46666667	74.65	33.16666667	72.53333333	51.4	86.5
Nudix proteins (nucleoside triphosphate hydrolases)	40.9	33.41666667	46.5	20.16666667	40.9	59.06666667	42.46666667	44.48333333	15.66666667	46.03333333	32.4	53
NusA-TFII Cluster	63.45995671	69	57.62063492	32.12778888	63.45995671	88.30119048	64.89285714	55.07857143	33	69.67619048	43.06666667	65.36111111
O-Methyl Phosphoramidate Capsule Modification in Campylobacter	0	0.333333333	2	0	0	0	1.333333333	1.166666667	0.5	0	2.25	0.5
O-antigen capsule important for environmental persistence	12	24.5	10	4	12	0	1	16	0.333333333	3	13	0
Omega-amidase	3.5	3.916666667	4.125	0	3.5	2.783333333	1.833333333	4	1.666666667	1	1	0.666666667
Omega-amidase KE	88.03452381	85.97619048	61.44285714	26.53333333	88.03452381	137.5095238	69.825	56.32619048	27.09444444	99.57619048	27.06666667	81.21666667
Omega-amidase KE2	543.05	478.9833333	446.3428571	278.2833333	543.05	747.8666667	467.3928571	466.4357143	266.2623016	551.952381	290.3928571	502.1940476
One-carbon metabolism by tetrahydropterines	54.85952381	53.38333333	33.90952381	26.15952381	54.85952381	79.56666667	43.475	37.73333333	32.83333333	54.7	28.62424242	37.80555556
Orphan regulatory proteins	20.75	48.83333333	30.83333333	19.16666667	20.75	7.5	23	51.16666667	3.725	19	14.25757576	32.66666667
Osmoprotectant ABC transporter YehZYXW of Enterobacteriales	5	11	6	1	5	0	3	10	0	2	3	3
Osmoregulation	13.83333333	14.83333333	16	14.66666667	13.83333333	17.5	18.5	18.33333333	5.5	15.83333333	7.666666667	13.91666667
Osmotic stress cluster	3.5	3.5	2	0	3.5	0.5	3	3.5	0	1	1.5	4
Outer membrane	24.66666667	11.5	21.33333333	21.4	24.66666667	28	11.41666667	7.333333333	9	16.16666667	16.11904762	24.05555556
Oxidative stress	120.2825758	119.4388889	105.8222222	73.89444444	120.2825758	178.4	104.1666667	112.3833333	64.45882353	113.5166667	84.325	138.3833333
Oxygen and light sensor PpaA-PpsR	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0
Oxygen stress response / Human gut microbiome	127.375	89.38888889	91.88888889	56.66666667	127.375	144.9166667	79.75	82.66666667	48.93333333	99.08333333	58.29166667	98.61666667
P uptake (cyanobacteria)	3	7	5.333333333	1	3	0	1	2.833333333	0	1	2.5	1
Pentose phosphate pathway	113.9301948	88.86587302	77.64166667	61.2222583	113.9301948	149.2452381	101.3011905	103.622619	49.44960317	99.29166667	76.7765873	110.0325397
Peptide ABC transport system Sap	6.5	17	18	12	6.5	5	15	13	5	5	7	11
Peptide methionine sulfoxide reductase	33.83333333	25.5	37.83333333	36	33.83333333	70.83333333	26.91666667	32.33333333	35.53333333	30	30.33333333	38.83333333
Peptidoglycan Biosynthesis	431.2608447	421.6095238	377.0646687	242.9958708	431.2608447	612.1959416	410.3755772	359.1690837	177.3448773	501.1938672	243.0865551	419.7519183
Peptidoglycan Crosslinking of Peptide Stems	7	16	15	2	7	0	3	18	0	3	5	8
Peptidoglycan biosynthesis--gjo	111.2354729	95.21785714	96.20590243	83.01582307	111.2354729	144.9748737	113.3140693	102.827417	67.46349206	117.9664141	89.81515152	118.3927553
Peptidyl-prolyl cis-trans isomerase	27.33333333	31.16666667	28.33333333	30.5	27.33333333	36	20.66666667	24	12.83333333	29.33333333	26.33333333	32.5
Peripheral Glucose Catabolism Pathways	1	0	0	0	1	0	0	0	0	0	0	0
Periplasmic Acid Stress Response in Enterobacteria	2	0	0	0	2	0	0	0	0	0	0	0
Periplasmic Stress Response	36.33333333	60.66666667	36.5	25.16666667	36.33333333	76	42	32	20.33333333	47.5	29.5	47
Periplasmic disulfide interchange	12.51785714	17.05952381	13.86785714	14.825	12.51785714	21.39285714	14	15.14285714	8.7	21.64285714	8.166666667	14.59924242
Periplasmic-Binding-Protein-Dependent Transport System for &#945;-Glucosides	0	0	0	0	0	0	0	0	0	0	1	0
Persister Cells	16	12	17	8	16	20	7	17	6.111111111	19	13	21
Petrobactin-mediated iron uptake system	0	0	3	0	0	0	3	0	0	0	0	0
Phage DNA methyltransferases	12	9	6	6	12	12	6	13	3	17	5	15
Phage Dual Exonuclease Exclusion	1	0	0	0	1	0	0	2	0	0	1	0
Phage Ea cluster	0	1	0	0	0	0	0	0	0	0	2	0
Phage Family Inoviridae	0	0	0	0	0	0	0	0	0	0	1	0
Phage capsid proteins	18.5	11.5	13	8.5	18.5	7	4	8.5	5.5	6	5	8.5
Phage carbon metabolism	0	0	0	0	0	0	1	0	0	0	0	1
Phage entry and exit	3	0	1	6.5	3	2	1	1	0	4	3	2
Phage head and packaging	21.25	35.5	13	26.33333333	21.25	5.5	8	11.5	3	7.5	14.83333333	27
Phage integration and excision	38	9	21	41	38	20	15	17.5	15	15	28	28
Phage neck proteins	0.5	1	0	0	0.5	0	0	0	0	0	0	0
Phage nin genes - N-independent survival	13	6	4	12	13	0	0	3	1	1	12	1
Phage packaging machinery	66	50	33	44.16666667	66	61	36	28.5	35.5	39.75	30.16666667	48
Phage shock protein (psp) operon	2	6	3	1	2	2	4.5	8	0	1	4.5	6
Phage tail fiber proteins	87.2	64.5	33	61.5	87.2	11.5	25	16.5	25	23	59.71212121	42.5
Phage tail proteins 2	79.25	67	55	61.33333333	79.25	52	40	49	46	51	37.33333333	55
"Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems"	18.83333333	10	15.5	7	18.83333333	31.5	6	13	8.5	14.5	7.5	13.5
Phenazine biosynthesis	3.25	0	0	0	3.25	1	0	0	0	0	0	0
Phenylacetyl-CoA catabolic pathway (core)	4.2	23.2	9	3.5	4.2	0	4	26	1	5	9.5	9
Phenylalanine and Tyrosine Branches from Chorismate	78.83333333	63.48333333	64.09285714	42.56666667	78.83333333	109.4833333	69.8	67.96666667	33.09444444	77.37619048	47.3	75.72619048
Phenylpropanoid compound degradation	0	1	1	0	0	0	0.333333333	3	0	0	0	1
Phenylpropanoids general biosynthesis in plants	0	0	0	0	0	0	0.25	0	0	0	0	0
Phenylpropionate Degradation	3.166666667	2	1.333333333	0.333333333	3.166666667	0	0	2.333333333	0	0	2.333333333	0
Phosphate metabolism	815.3869048	721.025	738.2286436	514.2433261	815.3869048	1112.727381	719.8301587	691.234127	413.1055556	832.6337662	549.6081871	828.8417027
Phosphatidylcholine biosynthesis in plants	0	0	0	0	0	1	0	0	0	0	0	0
Phosphoenolpyruvate phosphomutase	11.5	1	8.5	8	11.5	14.5	12	4	0	2.5	8.5	10.5
Phosphoglycerate transport system	1	6	0	1	1	0	1	0	0	0	1	6
Phospholipid and Fatty acid biosynthesis related cluster	13	20	1	0	13	4	15	17	0	13.33333333	0	0
Phosphonate metabolism	10.5	10	16.5	21	10.5	24.5	11	9	11	9.5	13.5	16.5
Phosphorylcholine incorporation in LPS	8.5	2	9	5.5	8.5	6	14.5	5.5	13	5	4.5	8.5
Photorespiration (oxidative C2 cycle)	21	19.84285714	9.083333333	10.78333333	21	29.625	14.81666667	7.2	3.666666667	18.01904762	10.23333333	20.61666667
Photosystem I	0	0	0	8	0	7	3	0	0	0	0	0
Photosystem II	0	0	0	6	0	5	3	0	0	0	0	0
Plasmid replication	139.8333333	77.25	95.08333333	75.78333333	139.8333333	179.6666667	73.08333333	82.25	54.58333333	89.91666667	65	111.2
Plastidial (p)ppGpp-mediated response in plants	54.44801587	54.15238095	57.13376623	36.36666667	54.44801587	87.11071429	56.96865079	50.21785714	21.59722222	61.40238095	39.97272727	55.37698413
Poly-gamma-glutamate biosynthesis	1	0.5	0.75	3.166666667	1	1.5	0.833333333	2.333333333	0	1	2.333333333	0.75
Poly-gamma-glutamate biosynthesis COPY	2	0.5	2.75	6.166666667	2	2	2.333333333	3.833333333	0	2.5	3.833333333	1.75
Polyadenylation bacterial	121.6666667	116.75	97.97626263	70.69761905	121.6666667	170.5833333	85.10833333	87.42619048	53.42619048	122.3333333	68.01263736	113.8071429
Polyamine Metabolism	320.0083333	229.3095238	279.575	212.9944444	320.0083333	436.1833333	258.525	282.9166667	165.0857143	307.75	220.05	342.85
Polyglycerolphosphate lipoteichoic acid biosynthesis	7	4	3	4	7	5	7	3	1	6	5	2
Polyhydroxybutyrate metabolism	26.58529249	22.38136031	24.59160562	21.93495671	26.58529249	20.02460317	23.56422466	26.79285714	8.443290043	11.69170274	11.18015873	19.80876623
Polyprenyl Diphosphate Biosynthesis	8.983333333	8.983333333	12.68333333	9.583333333	8.983333333	13.08333333	11.71666667	11.08333333	7.866666667	12.83333333	10.48333333	13.93333333
Polysaccharide deacetylases	38	20	25	34	38	51	43	24	27	30	33	34
Potassium homeostasis	468.6333333	405.15	439.6261905	322.2587302	468.6333333	583.6666667	408.5	380.8	252.5166667	450.3	299.6472222	497.8166667
Programmed frameshift	22.66666667	23.66666667	19.66666667	11.33333333	22.66666667	42.16666667	20.5	22.16666667	10.66666667	23.83333333	9.666666667	21.5
Proline Synthesis	78.26666667	77.38333333	55.71666667	45.08333333	78.26666667	107.6333333	62.23333333	55.56666667	29.11666667	77.98333333	37.91666667	67.03333333
"Proline, 4-hydroxyproline uptake and utilization"	91.85	83.19166667	84.19114774	71.09329004	91.85	99.91666667	70.13717949	103.3190476	54.96495726	80.87619048	76.79862637	99.22896825
Propanediol utilization	27.5	20.26666667	22.9	13.86666667	27.5	7.983333333	12.91666667	22.95	10.16666667	9.416666667	29.43333333	23.56666667
Propionate-CoA to Succinate Module	4.024242424	5.837427279	1.726190476	0.816399287	4.024242424	0.5	0.21978022	1.785714286	0.15	2.071428571	0.976190476	0.976190476
Propionyl-CoA to Succinyl-CoA Module	26.81666667	26.06666667	26.70238095	14.82150072	26.81666667	49.58333333	22.76666667	23.16666667	19.5	41.56904762	15.68181818	32.2
Proteasome archaeal	2.5	2.5	4.5	0	2.5	0	4	2.5	0	4	0	0
